,name,rating,votes,grade,type,height,pitches,safety,commitment,state,sub_area,photos,comments,near_grades,aid_grade,popularity,combined_difficulty,difficulty_sport_trad,number_near_grades,diff_nearby_grades,safety_numerical,commitment_numerical,aid_numerical
48,Desperate Measures,2.0,1,V6,['Boulder'],25.0,1,,,California,Warm Up Area,1,0,"['V5', 'V0', 'V3', 'V1', 'V0', 'V2', 'V-easy', 'V3', 'V6']",,2.1474268222689856,8,,9,3.8888888888888893,,1,
50,Power Failure,3.0,1,V3+,['Boulder'],10.0,1,,,California,Wawona,2,0,"['V4', 'V0', 'V2-', 'V3-']",,2.6474268222689856,5,,4,0.75,,1,
51,South Face,1.4,15,V-easy,['Boulder'],17.0,1,,,California,Manx Boulders,1,1,"['V1+', 'V2', 'V2', 'V0-', 'V1', 'V2']",,1.4559283527836233,1,,6,2.3333333333333335,,1,
52,Stevie Nyx McQueen,3.0,1,V3-4,['Boulder'],18.0,1,,,Nevada,First Pullout B…,2,1,['V5'],,2.6474268222689856,5,,1,2.0,,1,
57,Transition Assistance,1.5,2,V1,['Boulder'],15.0,1,,,California,49 Palms Oasis…,1,1,['V0'],,1.7649512148459905,3,,1,1.0,,1,
63,Unnamed Arete,2.0,1,V3,['Boulder'],10.0,1,,,California,Camp 4 Boulders,1,0,['V2'],,2.1474268222689856,5,,1,1.0,,1,
66,High Face,3.0,1,V3,['Boulder'],20.0,1,R,,California,Swan Slab Boulders,1,0,"['V0-', 'V4', 'V0-', 'V4', 'V0-', 'V0-', 'V2', 'V0-', 'V2', 'V4', 'V1', 'V1', 'V2', 'V5', 'V0-', 'V3', 'V0', 'V3', 'V-easy', 'V0-', 'V2', 'V0-', 'V8', '5.7', 'V4', 'V2', 'V6', 'V3']",,2.6474268222689856,5,,28,1.0357142857142856,2.0,1,
68,Mytoesis,2.6,14,V0,['Boulder'],25.0,1,,,California,Dreamers,2,0,"['V2', 'V0', 'V2', 'V3', 'V0', 'V0']",,2.579656909635865,2,,6,1.1666666666666665,,1,
69,S is for Serenity,2.0,1,V0-,['Boulder'],12.0,1,,,California,Catacombs,1,0,"['V0', 'V0', 'V1', 'V2', 'V1+', 'V1', 'V0', 'V2', 'V1', 'V0-']",,2.1474268222689856,2,,10,0.7999999999999998,,1,
76,Betty Jo Yablonksi,3.6,48,5.10a,['Boulder'],25.0,1,R,,California,Entrance Boulde…,4,7,['V0'],,3.573364360092612,2,7.0,1,0.0,2.0,1,
77,Pocket Rocket,2.7,3,V3,['Boulder'],20.0,1,,,California,HVCG West,2,0,"['V1-', 'V7-', 'V10', 'V3']",,2.598713411134493,5,,4,2.25,,1,
82,Islands in the Stream,2.0,4,V0+,['Boulder'],12.0,1,,,California,Hemingway Boulders,2,0,"['V0-', 'V0-', 'V-easy', 'V1', 'V2', 'V1', 'V0']",,2.0589707289075942,2,,7,0.4285714285714284,,1,
85,Right Arete,1.5,49,V0-,['Boulder'],15.0,1,,,California,Manx Boulders,1,0,"['V2', 'V3', 'V1', 'V0', 'V-easy', 'V4', 'V2+', 'V1', 'V3', 'V2']",,1.5158970728907595,2,,10,1.7000000000000002,,1,
91,IDC Problem,1.7,3,V2,['Boulder'],15.0,1,,,California,Outback Bouldering,3,2,[],,1.8487134111344927,4,,0,,,1,
94,Unmentionable,2.0,1,V3,['Boulder'],15.0,1,,,California,Jimmy Cliff Area,2,0,['V0'],,2.1474268222689856,5,,1,3.0,,1,
99,The Huck,3.1,63,V5-,['Boulder'],12.0,1,,,Nevada,Kraft Boulders,3,3,"['V7', 'V2', 'V10']",,3.087419588195906,7,,3,1.333333333333334,,1,
101,V1 Arete,1.2,5,V1,['Boulder'],12.0,1,,,California,Trashcan Rock Area,2,0,"['V-easy', 'V-easy', 'V-easy', 'V-easy', 'V0+', 'V3', 'V0', 'V1']",,1.3824756074229954,3,,8,1.0,,1,
105,Biscuits and Gravy,2.0,1,V2,['Boulder'],25.0,1,,,Nevada,Calico Basin Bo…,2,0,[],,2.1474268222689856,4,,0,,,1,
106,JBs Seam,3.9,8,V6,['Boulder'],20.0,1,,,California,Bachar Boulders,5,2,"['V3', 'V-easy', 'V1', 'V1', 'V0', 'V2', 'V2+', 'V2', 'V7', 'V0-', 'V2', 'V1+', 'V0', 'V2-', 'V2', 'V4-', 'V0+', 'V0', 'V0', 'V3']",,3.7216504049486634,8,,20,4.45,,1,
110,Supple Leopard,4.0,1,V7,['Boulder'],12.0,1,,,Nevada,White Rock Spring,2,0,[],,3.1474268222689856,9,,0,,,1,
111,Free as the Wind,1.8,4,V1,['Boulder'],15.0,1,,,California,Varnished Wall…,1,0,"['V1', 'V0', 'V2', 'V1']",,1.8989707289075946,3,,4,0.0,,1,
112,Total Devistation,2.8,16,V2,['Boulder'],25.0,1,,,Nevada,Cube Area,2,0,"['V12', 'V4', 'V9', '5.11a', 'V2-3', 'V1+', 'V1', 'V0']",,2.7702855085022335,4,,8,1.875,,1,
114,Spanish Fly,4.0,2,V6,['Boulder'],25.0,1,PG13,,California,Sentinel Boulders,2,1,[],,3.431617881512657,8,,0,,1.0,1,
115,Ceres,1.8,16,V-easy,['Boulder'],15.0,1,,,California,Asteroid Boulde…,0,0,"['V2', 'V-easy', 'V7', 'V-easy', 'V3', 'V4', 'V-easy', 'V0', 'V2', 'V2']",,1.8291090379139983,1,,10,2.7,,1,
116,Chicken Wing,2.0,2,V0-,['Boulder'],20.0,1,,,California,Indian Wave Bou…,1,1,['V1'],,2.0982845481793237,2,,1,1.0,,1,
119,Two Moves of Fury,2.0,2,V9,['Boulder'],10.0,1,,,California,Fury Area,0,0,['V6'],,2.0982845481793237,11,,1,3.0,,1,
123,Dorian Gray,1.0,2,V0-,['Boulder'],15.0,1,,,California,Stonehenge Boul…,0,0,"['V1', 'V5', 'V-easy', 'V0', 'V1-', 'V5']",,1.4316178815126572,2,,6,1.8333333333333335,,1,
131,Shiva Rising,2.3,11,V4,['Boulder'],12.0,1,,,California,Central - Maxim…,3,1,"['V5', 'V6']",,2.2995711370448304,6,,2,1.5,,1,
135,Mulligan Slab,2.4,5,V4,['Boulder'],12.0,1,,,California,Hall of Horrors…,1,0,"['V2', 'V2', 'V6', 'V5', 'V6', 'V6', 'V4', 'V4', 'V3', 'V3', 'V2-3', 'V0', 'V1']",,2.3824756074229954,6,,13,0.615384615384615,,1,
137,Echo Rock Traverse,2.3,6,V0,['Boulder'],100.0,1,,,California,Echo Rock Boulders,1,0,[],,2.299264806362567,2,,0,,,1,
147,Nutri-Grain,1.1,9,V-easy,['Boulder'],11.0,1,,,California,Stonehenge Boul…,1,0,"['V0', 'V-easy', 'V1', 'V2']",,1.2194853644537973,1,,4,1.5,,1,
150,West Entrance Problem,1.0,1,V2,['Boulder'],15.0,1,,,California,Quail Springs B…,1,0,"['V1', 'V-easy']",,1.6474268222689858,4,,2,2.0,,1,
153,Right of Crack,2.1,55,V2,['Boulder'],20.0,1,,,Nevada,Kraft Boulders,1,1,"['V2-3', 'V6', 'V2-3', 'V2', 'V1', 'V5', 'V0', 'V0', 'V2', 'V8', 'V9', 'V6', 'V1', 'V3', 'V5', 'V9', 'V2', 'V12', 'V2']",,2.1034795293667496,4,,19,2.052631578947368,,1,
154,Todd's New Standard,2.2,11,V4-,['Boulder'],10.0,1,,,California,Catacombs,1,1,"['V2', 'V0-', 'V0', 'V0', 'V0', 'V0+']",,2.207904470378164,6,,6,3.6666666666666665,,1,
155,Problem I,2.0,1,V3,['Boulder'],15.0,1,,,California,Horseshoe Lake,1,0,"['V0-', 'V0-', 'V0-', 'V0', 'V0', 'V2', 'V2', 'V1', 'V4+', 'V3', 'V1', 'V0+', 'V-easy', 'V2', 'V2', 'V2+', 'V1', 'V1+', 'V1']",,2.1474268222689856,5,,19,1.8947368421052633,,1,
165,Blinky,1.1,7,V-easy,['Boulder'],10.0,1,,,California,Echo Rock Boulders,2,1,"['V-easy', 'V2', 'V0', 'V0', 'V2', 'V-easy']",,1.2493567055672465,1,,6,1.3333333333333335,,1,
166,Northwest Face Left,1.6,35,V0,['Boulder'],12.0,1,,,Nevada,Kraft Boulders,1,0,"['V5', 'V1', 'V3', 'V5', 'V5', 'V1-2', 'V0', 'V0', 'V-easy', 'V1', 'V5']",,1.6193014901260547,2,,11,2.2727272727272725,,1,
167,Jedi Mind Tricks,3.9,141,V4,['Boulder'],25.0,1,PG13,,California,Pollen Grains /…,20,9,['V10'],,3.888696152426324,6,,1,6.0,1.0,1,
172,Sand Castle,2.0,1,V3,['Boulder'],21.0,1,R,,California,Stonehenge & Fr…,1,0,"['V-easy', 'V1']",,2.1474268222689856,5,,2,3.0,2.0,1,
174,Chapter 11,1.0,1,V0,['Boulder'],10.0,1,,,Nevada,Library,0,0,"['V2-3', 'V1-2']",,1.6474268222689858,2,,2,1.5,,1,
177,unnamed V easy 2,1.0,1,V-easy,['Boulder'],10.0,1,,,California,King Dome Area,1,0,"['V-easy', 'V-easy']",,1.6474268222689858,1,,2,0.0,,1,
180,Blue Plate Special,1.8,8,V-easy,['Boulder'],20.0,1,,,California,Lost Horse Boul…,1,0,"['V-easy', 'V-easy', 'V0', 'V-easy', 'V0-', 'V-easy']",,1.8549837382819967,1,,6,0.33333333333333326,,1,
183,One Eyed,2.4,5,V6,['Boulder'],8.0,1,,,California,Fury Area,1,1,['V9'],,2.3824756074229954,8,,1,3.0,,1,
190,Problem G,2.3,3,V2+,['Boulder'],10.0,1,,,California,Puppy Boulders,1,0,"['V1', 'V0-', 'V0', 'V0-', 'V-easy', 'V2', 'V1']",,2.298713411134493,4,,7,1.5714285714285716,,1,
191,Golden Rastafarian,3.6,25,V3,['Boulder'],15.0,1,,,California,Kitty Boulders,2,2,['V6'],,3.5498020632514606,5,,1,3.0,,1,
194,The Simpleton,1.9,17,V1,['Boulder'],15.0,1,,,California,King Dome Area,1,0,"['V3', 'V0-']",,1.9219363135854426,3,,2,0.5,,1,
196,Introduction to Rock Climbing,1.0,1,V-easy,['Boulder'],15.0,1,,,California,Black Rock Cany…,0,0,"['V0+', 'V0-', 'V0', 'V-easy']",,1.6474268222689858,1,,4,0.75,,1,
197,True at First Light,1.8,5,V0,['Boulder'],15.0,1,,,California,Hemingway Boulders,1,0,"['V0-', 'V0+', 'V0-', 'V-easy', 'V1', 'V2', 'V1']",,1.8824756074229954,2,,7,0.4285714285714284,,1,
203,Illicit Sweetie,3.0,140,V0,['Boulder'],18.0,1,,,California,Hang,3,1,"['V3', 'V-easy', 'V0-', 'V2']",,2.9949989620179998,2,,4,1.0,,1,
204,Interceptor,2.1,14,V0,['Boulder'],15.0,1,,,California,Asteroid Boulde…,3,0,"['V0', 'V3', 'V2']",,2.1129902429691985,2,,3,1.6666666666666665,,1,
209,Cabin Fever,2.7,3,V3,['Boulder'],12.0,1,,,California,Wawona,1,0,"['V2+', 'V0+', 'V1+', 'V2+', 'V1', 'V-easy']",,2.598713411134493,5,,6,2.1666666666666665,,1,
210,Perked Up,2.5,37,V2+,['Boulder'],10.0,1,,,Nevada,Kraft Boulders,1,4,['V0'],,2.4946014116983677,4,,1,2.0,,1,
214,Tilt-o-Meter Center,2.0,25,V1,['Boulder'],8.0,1,,,California,Outback Bouldering,0,0,"['V2', 'V4', 'V1', 'V1+', 'V1']",,2.011340524789922,3,,5,0.7999999999999998,,1,
219,Fluffer,2.3,151,V1-2,['Boulder'],15.0,1,,,Nevada,Kraft Boulders,1,2,"['V5', 'V0', 'V1', 'V3', 'V5', 'V5', 'V0', 'V0', 'V-easy', 'V1', 'V5']",,2.299966142398276,3,,11,1.1818181818181817,,1,
220,Clam Bumper Right,1.8,13,V0,['Boulder'],10.0,1,,,Nevada,Kraft Boulders,0,0,"['V1', 'V3', 'V3-4', 'V1', 'V6', 'V5', 'V0', 'V0']",,1.8353466888955694,2,,8,2.375,,1,
222,North Corner,1.0,5,V-easy,['Boulder'],12.0,1,,,California,Cap Rock Boulde…,1,0,"['V1', 'V0', 'V3']",,1.2158089407563286,1,,3,2.3333333333333335,,1,
230,Ver's Werner,2.6,18,V2,['Boulder'],15.0,1,,,California,Camp 4 Boulders,0,1,"['V5', 'V1', 'V7', 'V6']",,2.5839396655019984,4,,4,2.75,,1,
233,Face 3,2.0,1,V2,['Boulder'],14.0,1,,,California,Swan Slab Boulders,0,0,"['V0-', 'V4', 'V0-', 'V4', 'V0-', 'V0-', 'V0-', 'V2', 'V4', 'V1', 'V1', 'V2', 'V5', 'V0-', 'V3', 'V3', 'V0', 'V3', 'V-easy', 'V0-', 'V2', 'V0-', 'V8', '5.7', 'V4', 'V2', 'V6', 'V3']",,2.1474268222689856,4,,28,0.0,,1,
238,Scratch-N-Sniff,2.3,10,V1,['Boulder'],15.0,1,,,California,Miledi Boulders,1,1,"['V0-', 'V0', 'V3']",,2.299532149503452,3,,3,0.0,,1,
241,King Me,3.0,1,V10,['Boulder'],18.0,1,,,California,Checkerboard Area,3,3,"['V8-', 'V5', 'V8', 'V9']",,2.6474268222689856,12,,4,2.5,,1,
242,Chimney Problem,2.5,2,V-easy,['Boulder'],20.0,1,,,California,Outer Rim,0,0,"['V0', 'V-easy', 'V-easy', 'V4', 'V1+', 'V3', 'V5', 'V4', 'V0-']",,2.431617881512657,1,,9,2.6666666666666665,,1,
243,Problem A',1.0,1,V-easy,['Boulder'],10.0,1,,,California,Ravine,0,0,"['V0-', 'V1', 'V0', 'V2', 'V6', 'V0', 'V0', 'V0', 'V0']",,1.6474268222689858,1,,9,2.0,,1,
247,SW Arête,2.0,1,V0+,['Boulder'],13.0,1,,,Nevada,Black Velvet Ca…,2,0,"['V3-', 'V2+', 'V2', 'V3', 'V-easy', 'V0', 'V0', 'V0+', 'V1', 'V1+', 'V0-1']",,2.1474268222689856,2,,11,1.0,,1,
248,Unnamed v1,1.0,1,V1,['Boulder'],10.0,1,,,California,Crimp Ladder Area,0,0,"['V8', 'V11']",,1.6474268222689858,3,,2,8.5,,1,
249,Blow-Bee,1.8,8,V0,['Boulder'],12.0,1,,,California,Dreamers,2,0,"['V0', 'V0', 'V0', 'V0', 'V0', 'V0', 'V0', 'V1']",,1.8549837382819967,2,,8,0.125,,1,
250,Don't Puss,1.4,7,V0-,['Boulder'],18.0,1,,,California,Miledi Boulders,1,0,"['V0', 'V1', 'V3']",,1.5118567055672463,2,,3,1.3333333333333335,,1,
254,Gait of Power Traverse,2.0,1,V1,['Boulder'],20.0,1,,,California,Indian Cove Cam…,0,0,"['5.9', '5.10a', '5.11c', 'V1-2', '5.8-', '5.10a/b', '5.6', '5.3', '5.10a', '5.8', '5.9', '5.10a', '5.4', '5.8']",,2.1474268222689856,3,,14,0.9285714285714284,,1,
256,Wave Direct,2.2,33,V3-,['Boulder'],10.0,1,,,Nevada,Kraft Boulders,1,0,"['V4-5', 'V3']",,2.2027898130746464,5,,2,0.5,,1,
257,Robert Nesta Marley,2.0,1,V0,['Boulder'],10.0,1,,,California,Dreamers,1,0,"['V0', 'V3', 'V0', 'V4', 'V0', 'V1', 'V0', 'V0-', 'V2', 'V0']",,2.1474268222689856,2,,10,1.0,,1,
258,Do or Do Not,4.0,1,V5,['Boulder'],25.0,1,R,,California,Barker Dam Boul…,1,0,[],,3.1474268222689856,7,,0,,2.0,1,
263,Cole Dihedral,2.3,13,V0+,['Boulder'],21.0,1,,,California,Outback Bouldering,2,0,['V2'],,2.299632403181284,2,,1,2.0,,1,
279,Monkey Gone to Heaven,2.2,21,V3,['Boulder'],20.0,1,,,California,Indian Cove CG,7,0,"['V3', 'V1', 'V1', 'V-easy', 'V0-', 'V-easy', 'V6', 'V0-', 'V0', 'V-easy']",,2.2043115292971804,5,,10,2.2,,1,
283,Problem 07,1.5,4,V1,['Boulder'],15.0,1,,,California,Mammoth Lakes…,3,0,"['V2', 'V2', 'V-easy', 'V-easy', 'V0-', 'V0', 'V4', 'V1+', 'V0', 'V1', 'V-easy', 'V-easy', 'V0+', 'V1', 'V-easy', 'V-easy', 'V0+', 'V2', 'V1+', 'V1', 'V0', 'V-easy', 'V1+', 'V3', 'V2', 'V4', 'V1', 'V0-', 'V0-', 'V0-', 'V-easy', 'V-easy', 'V-easy', 'V-easy', 'V-easy', 'V-easy', 'V0-', 'V0', 'V0', 'V0-', 'V-easy', 'V-easy', 'V-easy']",,1.6589707289075946,3,,43,0.7674418604651163,,1,
285,Ament Arete,3.2,29,V6,['Boulder'],10.0,1,,,California,Camp 4 Boulders,2,2,"['V1', 'V0', 'V8']",,3.169828454817933,8,,3,3.0,,1,
286,Mary Jane,1.0,2,V-easy,['Boulder'],10.0,1,,,California,Echo Rock Boulders,1,0,"['V-easy', 'V-easy', 'V-easy', 'V-easy']",,1.4316178815126572,1,,4,0.0,,1,
289,The Octagon,3.5,22,V6,['Boulder'],15.0,1,,,California,Cathedral Boulders,3,3,"['V7', 'V4-5']",,3.447602332371216,8,,2,0.5,,1,
291,Freedom Gone,1.7,11,V0+,['Boulder'],20.0,1,,,California,Central - Maxim…,4,0,"['V3', 'V2', 'V3', 'V0+', 'V5-']",,1.7495711370448308,2,,5,2.5999999999999996,,1,
293,Funnel,1.0,1,V0-,['Boulder'],8.0,1,,,California,Catacombs,1,0,"['V2', 'V0', 'V4-', 'V0', 'V0', 'V0+']",,1.6474268222689858,2,,6,1.0,,1,
294,"The Heart, She Holler",3.5,2,V4,['Boulder'],20.0,1,,,Nevada,Willow Springs…,3,0,"['V3', 'V6', 'V4', 'V4']",,3.0982845481793237,6,,4,0.25,,1,
299,Unnamed 2.5,2.0,1,V0,['Boulder'],12.0,1,,,California,Swan Slab Boulders,1,0,"['V0-', 'V0-', 'V0-', 'V0', 'V1', 'V-easy', 'V-easy', 'V0-']",,2.1474268222689856,2,,8,0.125,,1,
300,Feline Party Favor,2.0,1,V3,['Boulder'],13.0,1,,,California,Wawona,1,0,"['V4', 'V2', 'V0+']",,2.1474268222689856,5,,3,1.0,,1,
301,Amen for Strange Young Men,1.0,1,V-easy,['Boulder'],15.0,1,,,California,S - Pocket Rock…,2,0,"['V0', 'V3', 'V0', 'V0', 'V0+', 'V4+']",,1.6474268222689858,1,,6,2.1666666666666665,,1,
305,Thin Black Dike,2.0,4,V3,['Boulder'],18.0,1,,,California,Hall of Horrors…,2,2,"['V2', 'V2', 'V6', 'V5', 'V6', 'V4', 'V6', 'V4', 'V4', 'V3', 'V2-3', 'V0', 'V1']",,2.0589707289075942,5,,13,0.4615384615384617,,1,
308,Heart and Sole,2.0,1,V2,['Boulder'],15.0,1,,,Nevada,W Cluster,1,0,"['V2', 'V1', 'V7', 'V9']",,2.1474268222689856,4,,4,2.75,,1,
309,Thin Face,1.6,8,V3,['Boulder'],15.0,1,,,California,Chocolate Boulders,4,0,"['V1', 'V4', 'V-easy', 'V3', 'V0-']",,1.677205960504219,5,,5,1.6,,1,
313,Descent Route,1.0,2,V-easy,['Boulder'],10.0,1,,,California,T J Lake,1,0,"['V3', 'V2', 'V1', 'V0', 'V-easy', 'V-easy', 'V0', 'V4']",,1.4316178815126572,1,,8,2.0,,1,
317,Rawhide,0.7,3,V-easy,['Boulder'],10.0,1,,,California,AFPA Rock Area,1,0,"['V4', 'V4', 'V0-', 'V1', 'V1', 'V1+', 'V1', 'V-easy', 'V5']",,1.0987134111344927,1,,9,2.7777777777777777,,1,
319,Nitwit,1.8,45,V0,['Boulder'],13.0,1,,,California,JBMF Boulders,1,1,"['V1', 'V5', 'V4']",,1.8107576879247385,2,,3,3.333333333333333,,1,
323,A Spoonful of Sugar,2.0,2,V-easy,['Boulder'],10.0,1,,,California,Mary Poppins Bo…,3,0,"['V-easy', 'V0', 'V-easy', 'V-easy']",,2.0982845481793237,1,,4,0.25,,1,
325,Excalibur Right,2.7,19,V3,['Boulder'],12.0,1,,,California,Puppy Boulders,0,1,['V1'],,2.6797426822268986,5,,1,2.0,,1,
326,Mr. Freeze,3.0,1,V5,['Boulder'],40.0,1,,,California,Trashcan Rock Area,1,3,"['V0', 'V0', 'V0', 'V0', 'V2', 'V0']",,2.6474268222689856,7,,6,4.666666666666666,,1,
327,Unnamed Traverse,3.0,1,V2,['Boulder'],13.0,1,,,California,Camp 4 Boulders,1,1,"['V0', 'V-easy', 'V4', 'V1', 'V3']",,2.6474268222689856,4,,5,0.6000000000000001,,1,
342,unnamed V easy 1,1.0,1,V-easy,['Boulder'],10.0,1,,,California,King Dome Area,1,0,"['V-easy', 'V-easy']",,1.6474268222689858,1,,2,0.0,,1,
343,Cube Face,3.0,11,V3,['Boulder'],15.0,1,,,California,Tenaya E Boulders,2,0,"['V0', 'V1', 'V0-', 'V0', 'V0-', 'V1+']",,2.9412378037114975,5,,6,2.6666666666666665,,1,
345,Problem 12,1.0,3,V-easy,['Boulder'],15.0,1,,,California,Mammoth Lakes…,1,0,"['V2', 'V2', 'V-easy', 'V0-', 'V0', 'V1', 'V4', 'V1+', 'V0', 'V1', 'V-easy', 'V-easy', 'V0+', 'V1', 'V-easy', 'V-easy', 'V0+', 'V2', 'V1+', 'V1', 'V0', 'V-easy', 'V1+', 'V3', 'V2', 'V4', 'V1', 'V0-', 'V0-', 'V0-', 'V-easy', 'V-easy', 'V-easy', 'V-easy', 'V-easy', 'V-easy', 'V0-', 'V0', 'V0', 'V0-', 'V-easy', 'V-easy', 'V-easy']",,1.3237134111344928,1,,43,1.2790697674418605,,1,
348,Qukes,1.0,1,V-easy,['Boulder'],20.0,1,,,Nevada,Calico Basin Bo…,2,0,['V6'],,1.6474268222689858,1,,1,7.0,,1,
351,West Entrance Warm-up,1.0,4,V-easy,['Boulder'],15.0,1,,,California,Quail Springs B…,3,0,"['V2', 'V1']",,1.2589707289075944,1,,2,2.5,,1,
352,Nautilus,3.0,1,V6,['Boulder'],13.0,1,,,Nevada,Red Spring Boul…,2,0,"['V1', 'V2']",,2.6474268222689856,8,,2,4.5,,1,
354,Fluke a.k.a The Drunken Master,3.2,5,V8,['Boulder'],15.0,1,,,California,Rock Creek Boul…,1,1,"['V7', 'V7', 'V11', 'V0', 'V9', 'V2', 'V4', 'V10', 'V3']",,3.0491422740896623,10,,9,2.1111111111111107,,1,
358,Chocolate Bunny,2.5,6,V6-,['Boulder'],7.0,1,,,California,Housekeeping,1,1,"['V5', 'V9', 'V6-']",,2.4706933777911386,8,,3,0.6666666666666661,,1,
366,The Beekeeper's Apprentice,3.1,11,V5,['Boulder'],25.0,1,,,California,Pollen Grains /…,0,0,"['V6', 'V4', 'V4-', 'V10', 'V7']",,3.0329044703781642,7,,5,1.1999999999999993,,1,
371,Scatterbrain,3.5,27,V6,['Boulder'],18.0,1,,,California,Scatterbrain Area,2,2,"['V2', 'V1']",,3.456959058733499,8,,2,4.5,,1,
373,Lucky Socks,4.0,1,V4,['Boulder'],30.0,1,,,Nevada,Calico Basin Bo…,2,0,['V2+'],,3.1474268222689856,6,,1,2.0,,1,
375,The Hexcentric,3.5,22,V7,['Boulder'],15.0,1,,,California,Cathedral Boulders,2,3,"['V4-5', 'V6']",,3.447602332371216,9,,2,2.0,,1,
381,Cornholio,1.5,2,V2+,['Boulder'],12.0,1,,,California,Blas Beemer Area,1,0,[],,1.7649512148459905,4,,0,,,1,
384,DSB,1.0,1,V0,['Boulder'],8.0,1,,,California,Dreamers,0,0,"['V0', 'V3', 'V0', 'V4', 'V0', 'V1', 'V0', 'V0-', 'V2', 'V0']",,1.6474268222689858,2,,10,1.0,,1,
